Nr,Name,Form,Gender,Fast move,Charge move,Charge move 2,Level,CP,HP,Dust cost,Overall appraisal,Att IV,Def IV,HP IV,Unique IV combos,Catch date,Lucky,Shadow,Purified,Scan date
1,Seel,,♂,Lick,Return,,25.0,572,115,3600,,3,2,10,1,,no,no,yes,2026-09-01 10:00
2,Rookidee,,♂,Peck,Frustration,Sky Attack,8.0,138,48,961,,7,15,14,1,,no,yes,no,2026-09-01 09:53
3,Amaura,,♂,,,,8.0,254,71,800,,0,3,6,1,,no,no,no,2026-09-01 09:53
4,Tyrunt,,♂,,,,8.0,324,57,961,,1,14,2,1,,no,yes,no,2026-09-01 09:53
5,Tyrunt,,♂,Dragon Tail,Frustration,,8.0,324,60,961,,1,7,11,1,,no,yes,no,2026-09-01 09:53
6,Tyrunt,,♂,,,,13.0,552,78,1921,,5,8,12,1,,no,yes,no,2026-09-01 09:53
7,Tyrunt,,♀,,,,13.0,583,79,1921,,14,6,15,1,,no,yes,no,2026-09-01 09:53
8,Tyrunt,,♂,,,,13.0,585,78,1921,,14,10,11,1,,no,yes,no,2026-09-01 09:53
9,Helioptile,,♂,,,,13.0,313,66,1921,,9,8,11,1,,no,yes,no,2026-09-01 09:53
10,Helioptile,,♀,,,,13.0,342,67,1921,,14,15,14,1,,no,yes,no,2026-09-01 09:53
11,Froakie,,♂,,,,8.0,178,46,961,,0,3,3,1,,no,yes,no,2026-09-01 09:53
12,Thundurus,Normal,♂,Astonish,,,20.0,1858,117,3000,,12,15,8,1,,no,yes,no,2026-09-01 09:53
13,Deino,,♀,,,,8.0,210,52,961,,8,10,0,1,,no,yes,no,2026-09-01 09:53
14,Shelmet,,♂,,,,8.0,152,55,961,,0,11,12,1,,no,yes,no,2026-09-01 09:53
15,Axew,,♂,,,,8.0,263,48,961,,1,11,0,1,,no,yes,no,2026-09-01 09:53
16,Axew,,♀,,,,8.0,269,49,961,,7,7,1,1,,no,yes,no,2026-09-01 09:53
