Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Quick Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use
1,Sableye,Mega,302,♂,804,78,10,15,14,86.7,15.0,15.0,Shadow Claw,Foul Play,,2026-09-01 20:13,2026-09-01 20:08,,,,0,0,0,15000,90.26%,400,96.23%,334400,268,Sableye,Normal,0,98.12%,78,96.03%,496400,268,Sableye,Normal,0,,,,,,,,,
2,Rookidee,,821,♂,138,48,7,15,14,80.0,8.0,8.0,Peck,Frustration,Sky Attack,2026-08-31 21:57,2026-08-31 21:57,,,,0,1,0,800,99.27%,31,98.46%,402600,235,Corvisquire,,2,87.81%,500,97.41%,450738,503,Corviknight,,1,89.30%,439,95.46%,14887,52,Corvisquire,,1,
3,Articuno,Galar,144,,557,70,1,14,13,62.2,6.0,6.0,Psycho Cut,Fly,,2026-08-31 06:02,2026-08-31 06:02,,,,0,0,0,600,99.63%,16,99.06%,21900,28,Articuno,Galar,0,87.81%,500,97.35%,76400,77,Articuno,Galar,0,,,,,,,,,
4,Dewpider,,751,♀,292,67,11,15,15,91.1,15.0,15.0,,,,2026-08-31 02:53,2026-08-31 02:53,,,,0,0,0,1900,61.98%,1558,95.81%,91400,132,Araquanid,,0,98.71%,54,97.16%,496400,318,Araquanid,,0,57.05%,1760,92.30%,56400,51,Dewpider,,0,
5,Meltan,,808,,238,56,1,13,11,55.6,9.0,9.0,,,,2026-08-31 02:23,2026-08-31 02:23,,,,0,0,0,1000,94.07%,244,97.67%,17500,422,Melmetal,,0,98.73%,53,98.86%,76000,474,Melmetal,,0,97.22%,115,96.69%,29800,34,Meltan,,0,
6,Meltan,,808,,737,92,15,12,9,80.0,25.0,25.0,,,,2026-08-31 01:59,2026-08-31 01:59,,,,0,0,0,4000,95.04%,204,93.34%,444000,220,Meltan,,0,95.04%,204,93.34%,444000,220,Meltan,,0,,,,,,,,,
7,Meltan,,808,,519,82,2,0,5,15.6,21.0,21.0,,,,2026-08-31 01:41,2026-08-31 01:41,,,,0,0,0,3000,1.93%,4017,73.17%,470000,244,Meltan,,0,56.68%,1775,95.99%,42000,438,Melmetal,,0,,,,,,,,,
8,Sableye,Mega,302,♂,804,78,10,15,14,86.7,15.0,15.0,,,,2026-08-30 21:58,2026-08-30 21:58,,,,0,0,0,1900,90.26%,400,96.23%,334400,268,Sableye,Normal,0,98.12%,78,96.03%,496400,268,Sableye,Normal,0,,,,,,,,,
9,Sableye,Normal,302,♀,805,88,12,11,11,75.6,20.0,20.0,,,,2026-08-30 21:58,2026-08-30 21:58,,,,0,0,0,2500,71.36%,1174,94.52%,337000,248,Sableye,Normal,0,92.31%,316,93.22%,475000,248,Sableye,Normal,0,,,,,,,,,
10,Snorlax,,143,♂,672,127,6,5,11,48.9,8.0,8.0,,,,2026-08-30 14:13,2026-08-30 14:13,,,,0,0,0,800,75.87%,989,96.03%,27000,32,Snorlax,,0,44.47%,2275,95.54%,103600,100,Snorlax,,0,,,,,,,,,
11,Corsola,Galar,222,♀,559,86,3,3,12,40.0,15.0,15.0,Astonish,Rock Blast,,2026-08-30 13:44,2026-08-30 13:44,,,,0,0,0,1900,71.72%,1159,94.98%,496400,268,Corsola,Galar,0,81.22%,770,97.29%,118400,156,Cursola,,0,,,,,,
12,Lapras,,131,♂,abc,109,10,11,15,80.0,8.0,8.0,,,,2026-08-30 13:15,2026-08-30 13:15,,,,0,1,0,3000,64.32%,1462,96.09%,49330,69,Lapras,,1,52.01%,1966,95.93%,281538,327,Lapras,,1,,,,,,,,,
13,Thundurus,Normal,642,♂,1858,117,17,15,8,77.8,20.0,20.0,Astonish,,,2026-08-30 13:15,2026-08-30 13:15,,,,0,1,0,3000,,,,,,,,,80.46%,801,96.78%,30800,30,Thundurus,Normal,2,,,,,,,,,
