Index,Name,Form,Pokemon Number,Gender,CP,HP,Atk IV,Def IV,Sta IV,IV Avg,Level Min,Level Max,Fast Move,Charge Move,Charge Move 2,Scan Date,Original Scan Date,Catch Date,Weight,Height,Lucky,Shadow/Purified,Favorite,Dust,Rank % (G),Rank # (G),Stat Prod (G),Dust Cost (G),Candy Cost (G),Name (G),Form (G),Sha/Pur (G),Rank % (U),Rank # (U),Stat Prod (U),Dust Cost (U),Candy Cost (U),Name (U),Form (U),Sha/Pur (U),Rank % (L),Rank # (L),Stat Prod (L),Dust Cost (L),Candy Cost (L),Name (L),Form (L),Sha/Pur (L),Marked for PvP use,Notes
1,Seel,,86,♂,572,115,3,2,10,33.3,25.0,25.0,Lick,Return,,2026-09-01 10:00,2026-09-01 10:00,,,,0,2,0,3600,79.44%,843,96.56%,39600,83,Dewgong,,2,15.95%,3443,84.12%,399600,255,Dewgong,,2,,,,,,,,,,exported by a newer app
2,Rookidee,,821,♂,138,48,7,15,14,80.0,8.0,8.0,Peck,Frustration,Sky Attack,2026-09-01 09:53,2026-08-30 22:57,,,,0,1,0,961,99.27%,31,98.46%,402600,235,Corvisquire,,2,87.81%,500,97.41%,450738,503,Corviknight,,1,89.30%,439,95.46%,14887,52,Corvisquire,,1,,exported by a newer app
3,Amaura,,698,♂,254,71,0,3,6,20.0,8.0,8.0,,,,2026-09-01 09:53,2026-09-01 09:53,,,,0,0,0,800,61.00%,1598,95.44%,43600,96,Aurorus,,0,80.54%,798,97.04%,283600,340,Aurorus,,0,92.23%,319,96.19%,19100,24,Amaura,,0,,exported by a newer app
4,Tyrunt,,696,♂,324,57,1,14,2,37.8,8.0,8.0,,,,2026-09-01 09:53,2026-09-01 09:53,,,,0,1,0,961,88.64%,466,97.50%,205500,213,Tyrunt,,2,81.44%,761,97.41%,42600,86,Tyrantrum,,2,83.74%,667,95.48%,9844,18,Tyrunt,,1,,exported by a newer app
5,Tyrunt,,696,♂,324,60,1,7,11,42.2,8.0,8.0,Dragon Tail,Frustration,,2026-09-01 09:53,2026-08-19 13:45,,,,0,1,0,961,93.28%,276,97.95%,195600,213,Tyrunt,,2,96.31%,152,98.51%,42600,86,Tyrantrum,,2,86.32%,561,95.78%,9844,18,Tyrunt,,1,,exported by a newer app
6,Tyrunt,,696,♂,552,78,5,8,12,55.6,13.0,13.0,,,,2026-09-01 09:53,2026-09-01 09:53,,,,0,1,0,1921,83.35%,683,97.05%,315372,354,Tyrunt,,1,50.89%,2012,96.07%,33600,78,Tyrantrum,,2,,,,,,,,,,exported by a newer app
7,Tyrunt,,696,♀,583,79,14,6,15,77.8,13.0,13.0,,,,2026-09-01 09:53,2026-09-01 09:53,,,,0,1,0,1921,35.26%,2652,94.24%,16804,74,Tyrantrum,,1,32.58%,2762,95.30%,105968,163,Tyrantrum,,1,,,,,,,,,,exported by a newer app
8,Tyrunt,,696,♂,585,78,14,10,11,77.8,13.0,13.0,,,,2026-09-01 09:53,2026-09-01 09:53,,,,0,1,0,1921,39.83%,2465,94.46%,16804,74,Tyrantrum,,1,31.55%,2804,95.27%,105968,163,Tyrantrum,,1,,,,,,,,,,exported by a newer app
9,Helioptile,,694,♂,313,66,9,8,11,62.2,13.0,13.0,,,,2026-09-01 09:53,2026-09-01 09:53,,,,0,1,0,1921,34.70%,2675,94.14%,39364,98,Heliolisk,,1,50.06%,2046,95.96%,168600,244,Heliolisk,,2,49.28%,2078,92.69%,36364,45,Helioptile,,1,,exported by a newer app
10,Helioptile,,694,♀,342,67,14,15,14,95.6,13.0,13.0,,,,2026-09-01 09:53,2026-09-01 09:53,,,,0,1,0,1921,39.19%,2491,94.34%,33364,92,Heliolisk,,1,60.29%,1627,96.35%,246972,323,Heliolisk,,1,84.64%,630,95.49%,27364,36,Helioptile,,1,,exported by a newer app
