Name,CP,Atk,Def,Sta,Level
Seel,572,3,2,10,25.0
Shadow Rookidee,138,7,15,14,8.0
Amaura,254,0,3,6,8.0
Shadow Tyrunt,324,1,14,2,8.0
Shadow Tyrunt,324,1,7,11,8.0
Shadow Tyrunt,552,5,8,12,13.0
Shadow Tyrunt,583,14,6,15,13.0
Shadow Tyrunt,585,14,10,11,13.0
Shadow Helioptile,313,9,8,11,13.0
Shadow Helioptile,342,14,15,14,13.0
Shadow Froakie,178,0,3,3,8.0
Shadow Thundurus,1858,12,15,8,20.0
Shadow Deino,210,8,10,0,8.0
Shadow Shelmet,152,0,11,12,8.0
Shadow Axew,263,1,11,0,8.0
Shadow Axew,269,7,7,1,8.0
Shadow Axew,279,4,11,11,8.0
Shadow Axew,289,13,7,10,8.0
Shadow Axew,295,9,15,13,8.0
Shadow Altered Giratina,1813,6,14,6,20.0
Shadow Altered Giratina,1815,6,12,9,20.0
Shadow Altered Giratina,1820,6,11,12,20.0
Shadow Altered Giratina,1859,9,13,13,20.0
Shadow Altered Giratina,1896,13,12,14,20.0
Shadow Palkia,2233,13,12,12,20.0
Shadow Snover,234,7,14,2,8.0
Shadow Stunky,414,15,14,6,13.0
Shadow Shinx,156,1,2,7,8.0
Shadow Shuppet,193,3,5,9,8.0
Shadow Wobbuffet,186,4,4,9,8.0
Shadow Hitmonchan,1273,11,11,10,20.0
Shadow Seel,193,4,15,12,8.0
Shadow Alola Geodude,258,11,4,1,8.0
Shadow Venonat,195,5,3,15,8.0
Shadow Oddish,406,9,5,6,13.0
Shadow Alola Vulpix,164,4,7,2,8.0
Shadow Alola Sandslash,503,5,15,3,8.0
Shadow Alola Sandshrew,251,9,1,0,8.0
Shadow Alola Sandshrew,271,12,15,1,8.0
Shadow Alola Rattata,138,6,0,14,8.0
Flamigo,801,0,12,13,11.0
Mega Sableye,804,10,15,14,15.0
Rookidee,235,3,9,7,15.0
Galar Articuno,557,1,14,13,6.0
Dewpider,298,14,14,12,15.0
Meltan,605,7,9,11,22.0
Meltan,670,2,14,9,25.0
Meltan,147,0,11,3,6.0
Meltan,294,2,11,12,11.0
Meltan,676,12,1,6,25.0
Meltan,747,9,12,15,26.0
Sableye,832,15,14,12,20.0
Mega Sableye,804,10,15,14,15.0
Snorlax,2332,12,4,2,27.0
Galar Corsola,559,3,3,12,15.0
Armored Mewtwo,1786,14,12,11,20.0
Armored Mewtwo,1809,15,15,12,20.0
Armored Mewtwo,1779,13,14,10,20.0
Mega Altaria,2316,14,15,11,26.0
Hisui Lilligant,1378,,,,20.0
Articuno,2404,10,13,13,28.5
Minun,1064,7,4,1,25.0
Lugia,3222,15,14,11,31.5
Eevee,509,6,15,15,18.0
Chikorita,381,,,,16.0
Chikorita,478,,,,20.5
Chikorita,531,,,,23.0
Chikorita,757,,,,33.5
Chikorita,487,,,,20.0
Meganium,2098,,,,34.5
Chikorita,727,,,,31.5
Chikorita,363,,,,14.5
Chikorita,684,,,,28.0
Typhlosion,1680,10,15,11,21.0
Totodile,403,8,8,6,14.0
Golett,595,,,,19.0
Roaming Gimmighoul,452,15,10,10,15.0
Origin Palkia,2279,10,11,10,20.0
Small Pumpkaboo,797,10,15,5,25.0
Nickit,175,2,2,6,11.0
Wailmer,253,4,11,1,7.0
Lickilicky,887,4,5,7,14.0
Lickitung,787,14,13,11,20.0
Lickitung,959,0,4,2,29.0
Lickilicky,2308,14,15,14,36.0
Alola Sandslash,1357,11,15,14,20.0
Alola Sandslash,1386,15,14,15,20.0
Shadow Alola Sandshrew,259,5,15,3,8.0
Alola Sandshrew,439,15,15,12,12.0
Alola Sandshrew,485,11,0,1,15.0
Sandshrew,534,6,9,1,17.0
Alola Sandshrew,562,15,4,12,16.0
Alola Sandshrew,708,13,10,12,20.0
Alola Sandshrew,708,11,13,13,20.0
Alola Sandshrew,723,13,14,14,20.0
Alola Sandshrew,726,14,12,15,20.0
Alola Sandslash,1383,15,13,15,20.0
Alola Sandshrew,728,13,15,15,20.0
Deino,220,14,0,15,8.0
Deino,592,13,14,14,20.0
Deino,595,15,11,15,20.0
Deino,720,5,7,1,28.0
Sobble,246,6,12,1,9.0
Paldea Wooper,264,13,13,13,15.0
Galar Stunfisk,27,1,13,13,1.0
Nickit,452,14,14,9,23.0
Galar Corsola,812,10,11,14,20.0
Galar Corsola,842,,,,20.0
Incarnate Enamorus,1925,14,15,10,20.0
Mega Gyarados,2683,15,15,13,20.0
Regirock,2186,15,10,10,25.0
Galar Stunfisk,1380,11,15,13,23.0
Galar Stunfisk,680,4,15,8,12.0
Galar Stunfisk,1207,14,11,12,20.0
Galar Stunfisk,27,6,2,11,1.0
Galar Stunfisk,1188,11,13,11,20.0
Galar Stunfisk,1378,12,13,12,23.0
Tatsugiri,1554,14,14,14,20.0
Morpeko,1078,11,15,12,20.0
Mega Swampert,3783,14,14,15,30.5
Hisui Samurott,1563,13,10,15,20.0
Lunala,2279,13,14,13,20.0
Shadow Shelmet,152,0,11,12,8.0
Deerling,953,5,13,11,35.0
Octillery,1429,5,13,12,23.0
Alola Raichu,1306,15,15,15,20.0
Male Indeedee,1396,15,15,15,20.0
Mega Y Mewtwo,3673,15,15,15,20.0
Mega Garchomp,3078,14,15,13,20.0
Jolteon,1627,14,11,15,20.0
Mega Aggron,2331,13,14,11,20.0
Hero Zacian,2149,12,14,13,20.0
Tapu Lele,2433,,,,25.0
Therian Tornadus,1803,,,,20.0
Therian Landorus,2194,,,,20.0
Origin Palkia,2885,10,11,15,25.0
10% Zygarde,987,,,,15.0
Altered Giratina,1909,15,12,12,20.0
Hero Zamazenta,2100,,,,20.0
Therian Enamorus,2325,,,,25.0
Origin Dialga,2282,12,11,13,20.0
Xurkitree,2199,,,,20.0
Mega Salamence,2830,10,15,15,20.0
Origin Palkia,2343,14,13,14,20.0
Ursaring,2470,,,,31.0
Rhydon,2845,,,,35.0
Tyranitar,3410,,,,34.0
Mega Y Mewtwo,3617,12,15,11,20.0
Machamp,3012,15,15,15,39.0
Mega Y Mewtwo,3616,11,13,14,20.0
