Seel	572	3	2	10
Shadow Rookidee	138	7	15	14
Amaura	254	0	3	6
Shadow Tyrunt	324	1	14	2
Shadow Tyrunt	324	1	7	11
Shadow Tyrunt	552	5	8	12
Shadow Tyrunt	583	14	6	15
Shadow Tyrunt	585	14	10	11
Shadow Helioptile	313	9	8	11
Shadow Helioptile	342	14	15	14
Shadow Froakie	178	0	3	3
Shadow Thundurus	1858	12	15	8
Shadow Deino	210	8	10	0
Shadow Shelmet	152	0	11	12
Shadow Axew	263	1	11	0
Shadow Axew	269	7	7	1
Shadow Axew	279	4	11	11
Shadow Axew	289	13	7	10
Shadow Axew	295	9	15	13
Shadow Altered Giratina	1813	6	14	6
Shadow Altered Giratina	1815	6	12	9
Shadow Altered Giratina	1820	6	11	12
Shadow Altered Giratina	1859	9	13	13
Shadow Altered Giratina	1896	13	12	14
Shadow Palkia	2233	13	12	12
Shadow Snover	234	7	14	2
Shadow Stunky	414	15	14	6
Shadow Shinx	156	1	2	7
Shadow Shuppet	193	3	5	9
Shadow Wobbuffet	186	4	4	9
Shadow Hitmonchan	1273	11	11	10
Shadow Seel	193	4	15	12
Shadow Alola Geodude	258	11	4	1
Shadow Venonat	195	5	3	15
Shadow Oddish	406	9	5	6
Shadow Alola Vulpix	164	4	7	2
Shadow Alola Sandslash	503	5	15	3
Shadow Alola Sandshrew	251	9	1	0
Shadow Alola Sandshrew	271	12	15	1
Shadow Alola Rattata	138	6	0	14
Flamigo	801	0	12	13
Mega Sableye	804	10	15	14
Rookidee	235	3	9	7
Galar Articuno	557	1	14	13
Dewpider	298	14	14	12
Meltan	605	7	9	11
Meltan	670	2	14	9
Meltan	147	0	11	3
Meltan	294	2	11	12
Meltan	676	12	1	6
Meltan	747	9	12	15
Sableye	832	15	14	12
Mega Sableye	804	10	15	14
Snorlax	2332	12	4	2
Galar Corsola	559	3	3	12
Armored Mewtwo	1786	14	12	11
Armored Mewtwo	1809	15	15	12
Armored Mewtwo	1779	13	14	10
Mega Altaria	2316	14	15	11
Hisui Lilligant	1378			
Articuno	2404	10	13	13
Minun	1064	7	4	1
Lugia	3222	15	14	11
Eevee	509	6	15	15
Chikorita	381			
Chikorita	478			
Chikorita	531			
Chikorita	757			
Chikorita	487			
Meganium	2098			
Chikorita	727			
Chikorita	363			
Chikorita	684			
Typhlosion	1680	10	15	11
Totodile	403	8	8	6
Golett	595			
Roaming Gimmighoul	452	15	10	10
Origin Palkia	2279	10	11	10
Small Pumpkaboo	797	10	15	5
Nickit	175	2	2	6
Wailmer	253	4	11	1
Lickilicky	887	4	5	7
Lickitung	787	14	13	11
Lickitung	959	0	4	2
Lickilicky	2308	14	15	14
Alola Sandslash	1357	11	15	14
Alola Sandslash	1386	15	14	15
Shadow Alola Sandshrew	259	5	15	3
Alola Sandshrew	439	15	15	12
Alola Sandshrew	485	11	0	1
Sandshrew	534	6	9	1
Alola Sandshrew	562	15	4	12
Alola Sandshrew	708	13	10	12
Alola Sandshrew	708	11	13	13
Alola Sandshrew	723	13	14	14
Alola Sandshrew	726	14	12	15
Alola Sandslash	1383	15	13	15
Alola Sandshrew	728	13	15	15
Deino	220	14	0	15
Deino	592	13	14	14
Deino	595	15	11	15
Deino	720	5	7	1
Sobble	246	6	12	1
Paldea Wooper	264	13	13	13
Galar Stunfisk	27	1	13	13
Nickit	452	14	14	9
Galar Corsola	812	10	11	14
Galar Corsola	842			
Incarnate Enamorus	1925	14	15	10
Mega Gyarados	2683	15	15	13
Regirock	2186	15	10	10
Galar Stunfisk	1380	11	15	13
Galar Stunfisk	680	4	15	8
Galar Stunfisk	1207	14	11	12
Galar Stunfisk	27	6	2	11
Galar Stunfisk	1188	11	13	11
Galar Stunfisk	1378	12	13	12
Tatsugiri	1554	14	14	14
Morpeko	1078	11	15	12
Mega Swampert	3783	14	14	15
Hisui Samurott	1563	13	10	15
Lunala	2279	13	14	13
Shadow Shelmet	152	0	11	12
Deerling	953	5	13	11
Octillery	1429	5	13	12
Alola Raichu	1306	15	15	15
Male Indeedee	1396	15	15	15
Mega Y Mewtwo	3673	15	15	15
Mega Garchomp	3078	14	15	13
Jolteon	1627	14	11	15
Mega Aggron	2331	13	14	11
Hero Zacian	2149	12	14	13
Tapu Lele	2433			
Therian Tornadus	1803			
Therian Landorus	2194			
Origin Palkia	2885	10	11	15
10% Zygarde	987			
Altered Giratina	1909	15	12	12
Hero Zamazenta	2100			
Therian Enamorus	2325			
Origin Dialga	2282	12	11	13
Xurkitree	2199			
Mega Salamence	2830	10	15	15
Origin Palkia	2343	14	13	14
Ursaring	2470			
Rhydon	2845			
Tyranitar	3410			
Mega Y Mewtwo	3617	12	15	11
Machamp	3012	15	15	15
Mega Y Mewtwo	3616	11	13	14
