Pokemon;CP;Attack;Defense;Stamina;Level;Shadow
Seel;572;3;2;10;25.0;no
Rookidee;138;7;15;14;8.0;yes
Amaura;254;0;3;6;8.0;no
Tyrunt;324;1;14;2;8.0;yes
Tyrunt;324;1;7;11;8.0;yes
Tyrunt;552;5;8;12;13.0;yes
Tyrunt;583;14;6;15;13.0;yes
Tyrunt;585;14;10;11;13.0;yes
Helioptile;313;9;8;11;13.0;yes
Helioptile;342;14;15;14;13.0;yes
Froakie;178;0;3;3;8.0;yes
Thundurus;1858;12;15;8;20.0;yes
Deino;210;8;10;0;8.0;yes
Shelmet;152;0;11;12;8.0;yes
Axew;263;1;11;0;8.0;yes
Axew;269;7;7;1;8.0;yes
Axew;279;4;11;11;8.0;yes
Axew;289;13;7;10;8.0;yes
Axew;295;9;15;13;8.0;yes
Giratina (Altered);1813;6;14;6;20.0;yes
Giratina (Altered);1815;6;12;9;20.0;yes
Giratina (Altered);1820;6;11;12;20.0;yes
Giratina (Altered);1859;9;13;13;20.0;yes
Giratina (Altered);1896;13;12;14;20.0;yes
Palkia;2233;13;12;12;20.0;yes
Snover;234;7;14;2;8.0;yes
Stunky;414;15;14;6;13.0;yes
Shinx;156;1;2;7;8.0;yes
Shuppet;193;3;5;9;8.0;yes
Wobbuffet;186;4;4;9;8.0;yes
Hitmonchan;1273;11;11;10;20.0;yes
Seel;193;4;15;12;8.0;yes
Geodude (Alola);258;11;4;1;8.0;yes
Venonat;195;5;3;15;8.0;yes
Oddish;406;9;5;6;13.0;yes
Vulpix (Alola);164;4;7;2;8.0;yes
Sandslash (Alola);503;5;15;3;8.0;yes
Sandshrew (Alola);251;9;1;0;8.0;yes
Sandshrew (Alola);271;12;15;1;8.0;yes
Rattata (Alola);138;6;0;14;8.0;yes
Flamigo;801;0;12;13;11.0;no
Sableye (Mega);804;10;15;14;15.0;no
Rookidee;235;3;9;7;15.0;no
Articuno (Galar);557;1;14;13;6.0;no
Dewpider;298;14;14;12;15.0;no
Meltan;605;7;9;11;22.0;no
Meltan;670;2;14;9;25.0;no
Meltan;147;0;11;3;6.0;no
Meltan;294;2;11;12;11.0;no
Meltan;676;12;1;6;25.0;no
Meltan;747;9;12;15;26.0;no
Sableye;832;15;14;12;20.0;no
Sableye (Mega);804;10;15;14;15.0;no
Snorlax;2332;12;4;2;27.0;no
Corsola (Galar);559;3;3;12;15.0;no
Mewtwo (Armored);1786;14;12;11;20.0;no
Mewtwo (Armored);1809;15;15;12;20.0;no
Mewtwo (Armored);1779;13;14;10;20.0;no
Altaria (Mega);2316;14;15;11;26.0;no
Lilligant (Hisui);1378;;;;20.0;no
Articuno;2404;10;13;13;28.5;no
Minun;1064;7;4;1;25.0;no
Lugia;3222;15;14;11;31.5;no
Eevee;509;6;15;15;18.0;no
Chikorita;381;;;;16.0;no
Chikorita;478;;;;20.5;no
Chikorita;531;;;;23.0;no
Chikorita;757;;;;33.5;no
Chikorita;487;;;;20.0;no
Meganium;2098;;;;34.5;no
Chikorita;727;;;;31.5;no
Chikorita;363;;;;14.5;no
Chikorita;684;;;;28.0;no
Typhlosion;1680;10;15;11;21.0;no
Totodile;403;8;8;6;14.0;no
Golett;595;;;;19.0;no
Gimmighoul (Roaming);452;15;10;10;15.0;no
